-DOCSTART- -X- -X- O
with NN O O
type NN O O
2 NN O O
diabetes NN O O
have NN O O
been NN O O
treated NN O O
with NN O O
NESINA NN O O
in NN O O
14 NN O O
randomized NN O O
, NN O O
double NN O O
- NN O O
blind NN O O
, NN O O
controlled NN O O
clinical NN O O
trials NN O O
with NN O O
approximately NN O O
2900 NN O O
subjects NN O O
randomized NN O O
to NN O O
placebo NN O O
and NN O O
approximately NN O O
2200 NN O O
to NN O O
an NN O O
active NN O O
comparator NN O O
. NN O O
The NN O O
mean NN O O
exposure NN O O
to NN O O
NESINA NN O O
was NN O O
40 NN O O
weeks NN O O
with NN O O
more NN O O
than NN O O
2400 NN O O
subjects NN O O
treated NN O O
for NN O O
more NN O O
than NN O O
one NN O O
year NN O O
. NN O O
Among NN O O
these NN O O
patients NN O O
, NN O O
63 NN O O
% NN O O
had NN O O
a NN O O
history NN O O
of NN O O
hypertension NN O O
, NN O O
51 NN O O
% NN O O
had NN O O
a NN O O
history NN O O
of NN O O
dyslipidemia NN O O
, NN O O
25 NN O O
% NN O O
had NN O O
a NN O O
history NN O O
of NN O O
myocardial NN O O
infarction NN O O
, NN O O
8 NN O O
% NN O O
had NN O O
a NN O O
history NN O O
of NN O O
unstable NN O O
angina NN O O
and NN O O
7 NN O O
% NN O O
had NN O O
a NN O O
history NN O O
of NN O O
congestive NN O O
heart NN O O
failure NN O O
. NN O O
The NN O O
mean NN O O
duration NN O O
of NN O O
diabetes NN O O
was NN O O
seven NN O O
years NN O O
, NN O O
the NN O O
mean NN O O
body NN O O
mass NN O O
index NN O O
( NN O O
BMI NN O O
) NN O O
was NN O O
31 NN O O
kg/m NN O O
2 NN O O
( NN O O
51 NN O O
% NN O O
of NN O O
patients NN O O
had NN O O
a NN O O
BMI NN O O
>=30 NN O O
kg/m NN O O
2 NN O O
) NN O O
, NN O O
and NN O O
the NN O O
mean NN O O
age NN O O
was NN O O
57 NN O O
years NN O O
( NN O O
24 NN O O
% NN O O
of NN O O
patients NN O O
>=65 NN O O
years NN O O
of NN O O
age NN O O
) NN O O
. NN O O
Two NN O O
placebo NN O O
- NN O O
controlled NN O O
monotherapy NN O O
trials NN O O
of NN O O
12 NN O O
and NN O O
26 NN O O
weeks NN O O
of NN O O
duration NN O O
were NN O O
conducted NN O O
in NN O O
patients NN O O
treated NN O O
with NN O O
NESINA NN O O
12.5 NN O O
mg NN O O
daily NN O O
, NN O O
NESINA NN O O
25 NN O O
mg NN O O
daily NN O O
and NN O O
placebo NN O O
. NN O O
Four NN O O
placebo NN O O
- NN O O
controlled NN O O
add NN O O
- NN O O
on NN O O
combination NN O O
therapy NN O O
trials NN O O
of NN O O
26 NN O O
weeks NN O O
duration NN O O
were NN O O
also NN O O
conducted NN O O
: NN O O
with NN O O
metformin NN O O
, NN O O
with NN O O
a NN O O
sulfonylurea NN O O
, NN O O
with NN O O
a NN O O
thiazolidinedione NN O O
and NN O O
with NN O O
insulin NN O O
. NN O O
Four NN O O
placebo NN O O
- NN O O
controlled NN O O
and NN O O
one NN O O
active NN O O
- NN O O
controlled NN O O
trials NN O O
of NN O O
16 NN O O
weeks NN O O
up NN O O
through NN O O
two NN O O
years NN O O
in NN O O
duration NN O O
were NN O O
conducted NN O O
in NN O O
combination NN O O
with NN O O
metformin NN O O
, NN O O
in NN O O
combination NN O O
with NN O O
pioglitazone NN O O
and NN O O
with NN O O
pioglitazone NN O O
added NN O O
to NN O O
a NN O O
background NN O O
of NN O O
metformin NN O O
therapy NN O O
. NN O O
Three NN O O
active NN O O
- NN O O
controlled NN O O
trials NN O O
of NN O O
52 NN O O
weeks NN O O
in NN O O
duration NN O O
were NN O O
conducted NN O O
in NN O O
patients NN O O
treated NN O O
with NN O O
pioglitazone NN O O
and NN O O
metformin NN O O
, NN O O
in NN O O
combination NN O O
with NN O O
metformin NN O O
and NN O O
as NN O O
monotherapy NN O O
compared NN O O
to NN O O
glipizide NN O O
. NN O O
In NN O O
a NN O O
pooled NN O O
analysis NN O O
of NN O O
these NN O O
14 NN O O
controlled NN O O
clinical NN O O
trials NN O O
, NN O O
the NN O O
overall NN O O
incidence NN O O
of NN O O
adverse NN O O
events NN O O
was NN O O
66 NN O O
% NN O O
in NN O O
patients NN O O
treated NN O O
with NN O O
NESINA NN O O
25 NN O O
mg NN O O
compared NN O O
to NN O O
62 NN O O
% NN O O
with NN O O
placebo NN O O
and NN O O
70 NN O O
% NN O O
with NN O O
active NN O O
comparator NN O O
. NN O O
Overall NN O O
discontinuation NN O O
of NN O O
therapy NN O O
due NN O O
to NN O O
adverse NN O O
events NN O O
was NN O O
4.7 NN O O
% NN O O
with NN O O
NESINA NN O O
25 NN O O
mg NN O O
compared NN O O
to NN O O
4.5 NN O O
% NN O O
with NN O O
placebo NN O O
or NN O O
6.2 NN O O
% NN O O
with NN O O
active NN O O
comparator NN O O
. NN O O
Adverse NN O O
reactions NN O O
reported NN O O
in NN O O
>=4 NN O O
% NN O O
of NN O O
patients NN O O
treated NN O O
with NN O O
NESINA NN O O
25 NN O O
mg NN O O
and NN O O
more NN O O
frequently NN O O
than NN O O
in NN O O
patients NN O O
who NN O O
received NN O O
placebo NN O O
are NN O O
summarized NN O O
in NN O O
Table NN O O
1 NN O O
. NN O O
Table NN O O
1 NN O O
. NN O O
Adverse NN O O
Reactions NN O O
Reported NN O O
in NN O O
>=4 NN O O
% NN O O
Patients NN O O
Treated NN O O
with NN O O
NESINA NN O O
25 NN O O
mg NN O O
and NN O O
More NN O O
Frequently NN O O
Than NN O O
in NN O O
Patients NN O O
Given NN O O
Placebo NN O O
in NN O O
Pooled NN O O
Studies NN O O
Number NN O O
of NN O O
Patients NN O O
( NN O O
% NN O O
) NN O O
NESINA25 NN O O
mg NN O O
Placebo NN O O
Active NN O O
Comparator NN O O
N=5902 NN O O
N=2926 NN O O
N=2257 NN O O
Nasopharyngitis NN B-AdverseReaction B-AdverseReaction
257 NN O O
( NN O O
4.4 NN O O
) NN O O
89 NN O O
( NN O O
3.0 NN O O
) NN O O
113 NN O O
( NN O O
5.0 NN O O
) NN O O
Headache NN B-AdverseReaction B-AdverseReaction
247 NN O O
( NN O O
4.2 NN O O
) NN O O
72 NN O O
( NN O O
2.5 NN O O
) NN O O
121 NN O O
( NN O O
5.4 NN O O
) NN O O
Upper NN B-AdverseReaction B-AdverseReaction
Respiratory NN I-AdverseReaction I-AdverseReaction
Tract NN I-AdverseReaction I-AdverseReaction
Infection NN I-AdverseReaction I-AdverseReaction
247 NN O O
( NN O O
4.2 NN O O
) NN O O
61 NN O O
( NN O O
2.1 NN O O
) NN O O
113 NN O O
( NN O O
5.0 NN O O
) NN O O
Pancreatitis NN O O
In NN O O
the NN O O
clinical NN O O
trial NN O O
program NN O O
, NN O O
pancreatitis NN B-AdverseReaction B-AdverseReaction
was NN O O
reported NN O O
in NN O O
11 NN O O
of NN O O
5902 NN O O
( NN O O
0.2 NN O O
% NN O O
) NN O O
patients NN O O
receiving NN O O
NESINA NN O O
25 NN O O
mg NN O O
daily NN O O
compared NN O O
to NN O O
five NN O O
of NN O O
5183 NN O O
( NN O O
< NN O O
0.1 NN O O
% NN O O
) NN O O
patients NN O O
receiving NN O O
all NN O O
comparators NN O O
. NN O O
Hypersensitivity NN O O
Reactions NN O O
In NN O O
a NN O O
pooled NN O O
analysis NN O O
, NN O O
the NN O O
overall NN O O
incidence NN O O
of NN O O
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
was NN O O
0.6 NN O O
% NN O O
with NN O O
NESINA NN O O
25 NN O O
mg NN O O
compared NN O O
to NN O O
0.8 NN O O
% NN O O
with NN O O
all NN O O
comparators NN O O
. NN O O
A NN O O
single NN O O
event NN O O
of NN O O
serum NN B-AdverseReaction B-AdverseReaction
sickness NN I-AdverseReaction I-AdverseReaction
was NN O O
reported NN O O
in NN O O
a NN O O
patient NN O O
treated NN O O
with NN O O
NESINA NN O O
25 NN O O
mg NN O O
. NN O O
Hypoglycemia NN O O
Hypoglycemic NN B-AdverseReaction B-AdverseReaction
events NN I-AdverseReaction I-AdverseReaction
were NN O O
documented NN O O
based NN O O
upon NN O O
a NN O O
blood NN O O
glucose NN O O
value NN O O
and/or NN O O
clinical NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
hypoglycemia NN B-AdverseReaction B-AdverseReaction
In NN O O
the NN O O
monotherapy NN O O
study NN O O
, NN O O
the NN O O
incidence NN O O
of NN O O
hypoglycemia NN B-AdverseReaction B-AdverseReaction
was NN O O
1.5 NN O O
% NN O O
in NN O O
patients NN O O
treated NN O O
with NN O O
NESINA NN O O
compared NN O O
to NN O O
1.6 NN O O
% NN O O
with NN O O
placebo NN O O
. NN O O
The NN O O
use NN O O
of NN O O
NESINA NN O O
as NN O O
add NN O O
- NN O O
on NN O O
therapy NN O O
to NN O O
glyburide NN O O
or NN O O
insulin NN O O
did NN O O
not NN O O
increase NN O O
the NN O O
incidence NN O O
of NN O O
hypoglycemia NN B-AdverseReaction B-AdverseReaction
compared NN O O
to NN O O
placebo NN O O
. NN O O
In NN O O
a NN O O
monotherapy NN O O
study NN O O
comparing NN O O
NESINA NN O O
to NN O O
a NN O O
sulfonylurea NN O O
in NN O O
elderly NN O O
patients NN O O
, NN O O
the NN O O
incidence NN O O
of NN O O
hypoglycemia NN B-AdverseReaction B-AdverseReaction
was NN O O
5.4 NN O O
% NN O O
with NN O O
NESINA NN O O
compared NN O O
to NN O O
26 NN O O
% NN O O
with NN O O
glipizide NN O O
( NN O O
Table NN O O
2 NN O O
) NN O O
. NN O O
Table NN O O
2 NN O O
. NN O O
Incidence NN O O
and NN O O
Rate NN O O
of NN O O
Hypoglycemia NN B-AdverseReaction B-AdverseReaction
reactions NN O O
of NN O O
hypoglycemia NN B-AdverseReaction B-AdverseReaction
were NN O O
based NN O O
on NN O O
all NN O O
reports NN O O
of NN O O
symptomatic NN B-Severity B-Severity
and NN O O
asymptomatic NN O O
hypoglycemia NN B-AdverseReaction B-AdverseReaction
a NN O O
concurrent NN O O
glucose NN O O
measurement NN O O
was NN O O
not NN O O
required NN O O
; NN O O
intent NN O O
- NN O O
to NN O O
- NN O O
treat NN O O
population NN O O
. NN O O
in NN O O
Placebo NN O O
and NN O O
Active NN O O
- NN O O
Controlled NN O O
Studies NN O O
when NN O O
NESINA NN O O
Was NN O O
Used NN O O
as NN O O
Add NN O O
- NN O O
On NN O O
Therapy NN O O
to NN O O
Glyburide NN O O
, NN O O
Insulin NN O O
, NN O O
Metformin NN O O
, NN O O
Pioglitazone NN O O
or NN O O
Compared NN O O
to NN O O
Glipizide NN O O
Add NN O O
- NN O O
On NN O O
to NN O O
Glyburide(26 NN O O
Weeks NN O O
) NN O O
NESINA NN O O
25 NN O O
mg+ NN O O
Glyburide NN O O
Placebo+ NN O O
Glyburide NN O O
N=198 NN O O
N=99 NN O O
Overall NN O O
( NN O O
% NN O O
) NN O O
19 NN O O
( NN O O
9.6 NN O O
) NN O O
11 NN O O
( NN O O
11.1 NN O O
) NN O O
Severe NN O O
( NN O O
%)Severe NN O O
events NN O O
of NN O O
hypoglycemia NN B-AdverseReaction B-AdverseReaction
were NN O O
defined NN O O
as NN O O
those NN O O
events NN O O
requiring NN O O
medical NN O O
assistance NN O O
or NN O O
exhibiting NN O O
depressed NN O O
level NN O O
or NN O O
loss NN O O
of NN O O
consciousness NN O O
or NN O O
seizure NN O O
. NN O O
0 NN O O
1 NN O O
( NN O O
1 NN O O
) NN O O
Add NN O O
- NN O O
On NN O O
to NN O O
Insulin NN O O
( NN O O
+/- NN O O
Metformin)(26 NN O O
Weeks NN O O
) NN O O
NESINA NN O O
25 NN O O
mg+ NN O O
Insulin NN O O
( NN O O
+/- NN O O
Metformin NN O O
) NN O O
Placebo+ NN O O
Insulin NN O O
( NN O O
+/- NN O O
Metformin NN O O
) NN O O
N=129 NN O O
N=129 NN O O
Overall NN O O
( NN O O
% NN O O
) NN O O
35 NN O O
( NN O O
27 NN O O
) NN O O
31 NN O O
( NN O O
24 NN O O
) NN O O
Severe NN O O
( NN O O
% NN O O
) NN O O
1 NN O O
( NN O O
0.8 NN O O
) NN O O
2 NN O O
( NN O O
1.6 NN O O
) NN O O
Add NN O O
- NN O O
On NN O O
to NN O O
Metformin(26 NN O O
Weeks NN O O
) NN O O
NESINA NN O O
25 NN O O
mg+ NN O O
Metformin NN O O
Placebo+ NN O O
Metformin NN O O
N=207 NN O O
N=104 NN O O
Overall NN O O
( NN O O
% NN O O
) NN O O
0 NN O O
3 NN O O
( NN O O
2.9 NN O O
) NN O O
Severe NN O O
( NN O O
% NN O O
) NN O O
0 NN O O
0 NN O O
Add NN O O
- NN O O
On NN O O
to NN O O
Pioglitazone(+/- NN O O
Metformin NN O O
or NN O O
Sulfonylurea)(26 NN O O
Weeks NN O O
) NN O O
NESINA NN O O
25 NN O O
mg+ NN O O
Pioglitazone NN O O
Placebo+ NN O O
Pioglitazone NN O O
N=199 NN O O
N=97 NN O O
Overall NN O O
( NN O O
% NN O O
) NN O O
14 NN O O
( NN O O
7.0 NN O O
) NN O O
5 NN O O
( NN O O
5.2 NN O O
) NN O O
Severe NN O O
( NN O O
% NN O O
) NN O O
0 NN O O
1 NN O O
( NN O O
1 NN O O
) NN O O
Compared NN O O
to NN O O
Glipizide(52 NN O O
Weeks NN O O
) NN O O
NESINA NN O O
25 NN O O
mg NN O O
Glipizide NN O O
N=222 NN O O
N=219 NN O O
Overall NN O O
( NN O O
% NN O O
) NN O O
12 NN O O
( NN O O
5.4 NN O O
) NN O O
57 NN O O
( NN O O
26 NN O O
) NN O O
Severe NN O O
( NN O O
% NN O O
) NN O O
0 NN O O
3 NN O O
( NN O O
1.4 NN O O
) NN O O
Add NN O O
- NN O O
On NN O O
to NN O O
Metformin(26 NN O O
Weeks NN O O
) NN O O
NESINA NN O O
25 NN O O
mg NN O O
Metformin NN O O
500 NN O O
mg NN O O
twice NN O O
daily NN O O
N=112 NN O O
N=109 NN O O
Overall NN O O
( NN O O
% NN O O
) NN O O
2 NN O O
( NN O O
1.8 NN O O
) NN O O
2 NN O O
( NN O O
1.8 NN O O
) NN O O
Severe NN O O
( NN O O
% NN O O
) NN O O
0 NN O O
0 NN O O
Add NN O O
- NN O O
On NN O O
to NN O O
Metformin NN O O
Compared NN O O
to NN O O
Glipizide(52 NN O O
Weeks NN O O
) NN O O
NESINA NN O O
25 NN O O
mg+ NN O O
Metformin NN O O
Glipizide NN O O
+ NN O O
Metformin NN O O
N=877 NN O O
N=869 NN O O
Overall NN O O
( NN O O
% NN O O
) NN O O
12 NN O O
( NN O O
1.4 NN O O
) NN O O
207 NN O O
( NN O O
23.8 NN O O
) NN O O
Severe NN O O
( NN O O
% NN O O
) NN O O
0 NN O O
4 NN O O
( NN O O
0.5 NN O O
) NN O O
Vital NN O O
Signs NN O O
No NN B-Negation B-Negation
clinically NN O O
meaningful NN O O
changes NN B-AdverseReaction B-AdverseReaction
in NN I-AdverseReaction I-AdverseReaction
vital NN I-AdverseReaction I-AdverseReaction
signs NN I-AdverseReaction I-AdverseReaction
or NN O O
in NN O O
electrocardiograms NN O O
were NN O O
observed NN O O
in NN O O
patients NN O O
treated NN O O
with NN O O
NESINA. NN O O
Laboratory NN O O
Tests NN O O
No NN O O
clinically NN O O
meaningful NN O O
changes NN O O
in NN O O
hematology NN O O
, NN O O
serum NN O O
chemistry NN O O
or NN O O
urinalysis NN O O
were NN O O
observed NN O O
in NN O O
patients NN O O
treated NN O O
with NN O O
NESINA. NN O O
6.2 NN O O
Postmarketing NN O O
Experience NN O O
The NN O O
following NN O O
adverse NN O O
reactions NN O O
have NN O O
been NN O O
identified NN O O
during NN O O
the NN O O
postmarketing NN O O
use NN O O
of NN O O
NESINA. NN O O
Because NN O O
these NN O O
reactions NN O O
are NN O O
reported NN O O
voluntarily NN O O
from NN O O
a NN O O
population NN O O
of NN O O
uncertain NN O O
size NN O O
, NN O O
it NN O O
is NN O O
not NN O O
always NN O O
possible NN O O
to NN O O
reliably NN O O
estimate NN O O
their NN O O
frequency NN O O
or NN O O
establish NN O O
a NN O O
causal NN O O
relationship NN O O
to NN O O
drug NN O O
exposure NN O O
. NN O O
Hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
including NN O O
anaphylaxis NN B-AdverseReaction B-AdverseReaction
angioedema NN B-AdverseReaction B-AdverseReaction
rash NN B-AdverseReaction B-AdverseReaction
urticaria NN B-AdverseReaction B-AdverseReaction
and NN O O
severe NN B-Severity B-Severity
cutaneous NN B-AdverseReaction B-AdverseReaction
adverse NN I-AdverseReaction I-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
including NN O O
Stevens NN B-AdverseReaction B-AdverseReaction
- NN I-AdverseReaction I-AdverseReaction
Johnson NN I-AdverseReaction I-AdverseReaction
syndrome NN I-AdverseReaction I-AdverseReaction
hepatic NN B-AdverseReaction B-AdverseReaction
enzyme NN I-AdverseReaction I-AdverseReaction
elevations NN I-AdverseReaction I-AdverseReaction
fulminant NN B-AdverseReaction B-AdverseReaction
hepatic NN I-AdverseReaction I-AdverseReaction
failure NN I-AdverseReaction I-AdverseReaction
severe NN B-Severity B-Severity
and NN O O
disabling NN B-Severity B-Severity
arthralgia NN B-AdverseReaction B-AdverseReaction
and NN O O
acute NN B-AdverseReaction B-AdverseReaction
pancreatitis NN I-AdverseReaction I-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.1,5.2,5.3,5.5 NN O O
) NN O O
] NN O O
. NN O O
5 NN O O
WARNINGS NN O O
AND NN O O
PRECAUTIONS NN O O
EXCERPT NN O O
: NN O O
* NN O O
Acute NN B-AdverseReaction B-AdverseReaction
pancreatitis NN I-AdverseReaction I-AdverseReaction
There NN O O
have NN O O
been NN O O
postmarketing NN O O
reports NN O O
of NN O O
acute NN B-AdverseReaction B-AdverseReaction
pancreatitis NN I-AdverseReaction I-AdverseReaction
If NN O O
pancreatitis NN O O
is NN O O
suspected NN O O
, NN O O
promptly NN O O
discontinue NN O O
NESINA. NN O O
( NN O O
5.1 NN O O
) NN O O
* NN O O
Hypersensitivity NN B-AdverseReaction B-AdverseReaction
There NN O O
have NN O O
been NN O O
postmarketing NN O O
reports NN O O
of NN O O
serious NN B-Severity B-Severity
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
in NN O O
patients NN O O
treated NN O O
with NN O O
NESINA NN O O
such NN O O
as NN O O
anaphylaxis NN B-AdverseReaction B-AdverseReaction
angioedema NN B-AdverseReaction B-AdverseReaction
and NN O O
severe NN B-Severity B-Severity
cutaneous NN B-AdverseReaction B-AdverseReaction
adverse NN I-AdverseReaction I-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
In NN O O
such NN O O
cases NN O O
, NN O O
promptly NN O O
discontinue NN O O
NESINA NN O O
, NN O O
assess NN O O
for NN O O
other NN O O
potential NN O O
causes NN O O
, NN O O
institute NN O O
appropriate NN O O
monitoring NN O O
and NN O O
treatment NN O O
and NN O O
initiate NN O O
alternative NN O O
treatment NN O O
for NN O O
diabetes NN O O
. NN O O
( NN O O
5.2 NN O O
) NN O O
* NN O O
Hepatic NN B-AdverseReaction B-AdverseReaction
effects NN I-AdverseReaction I-AdverseReaction
Postmarketing NN O O
reports NN O O
of NN O O
hepatic NN B-AdverseReaction B-AdverseReaction
failure NN I-AdverseReaction I-AdverseReaction
sometimes NN O O
fatal NN B-AdverseReaction B-AdverseReaction
Causality NN O O
can NN O O
not NN O O
be NN O O
excluded NN O O
. NN O O
If NN O O
liver NN O O
injury NN O O
is NN O O
detected NN O O
, NN O O
promptly NN O O
interrupt NN O O
NESINA NN O O
and NN O O
assess NN O O
patient NN O O
for NN O O
probable NN O O
cause NN O O
, NN O O
then NN O O
treat NN O O
cause NN O O
if NN O O
possible NN O O
, NN O O
to NN O O
resolution NN O O
or NN O O
stabilization NN O O
. NN O O
Do NN O O
not NN O O
restart NN O O
NESINA NN O O
if NN O O
liver NN O O
injury NN O O
is NN O O
confirmed NN O O
and NN O O
no NN O O
alternative NN O O
etiology NN O O
can NN O O
be NN O O
found NN O O
. NN O O
( NN O O
5.3 NN O O
) NN O O
* NN O O
Hypoglycemia NN B-AdverseReaction B-AdverseReaction
When NN O O
an NN O O
insulin NN O O
secretagogue NN O O
( NN O O
e.g. NN O O
, NN O O
sulfonylurea NN O O
) NN O O
or NN O O
insulin NN O O
is NN O O
used NN O O
in NN O O
combination NN O O
with NN O O
NESINA NN O O
, NN O O
a NN O O
lower NN O O
dose NN O O
of NN O O
the NN O O
insulin NN O O
secretagogue NN O O
or NN O O
insulin NN O O
may NN O O
be NN O O
required NN O O
to NN O O
minimize NN O O
the NN O O
risk NN O O
of NN O O
hypoglycemia NN O O
. NN O O
( NN O O
5.4 NN O O
) NN O O
* NN O O
Arthralgia NN B-AdverseReaction B-AdverseReaction
Severe NN B-Severity B-Severity
and NN O O
disabling NN B-Severity B-Severity
arthralgia NN B-AdverseReaction B-AdverseReaction
has NN O O
been NN O O
reported NN O O
in NN O O
patients NN O O
taking NN O O
DPP-4 NN B-DrugClass B-DrugClass
inhibitors NN I-DrugClass I-DrugClass
Consider NN O O
as NN O O
a NN O O
possible NN O O
cause NN O O
for NN O O
severe NN O O
joint NN O O
pain NN O O
and NN O O
discontinue NN O O
drug NN O O
if NN O O
appropriate NN O O
. NN O O
( NN O O
5.5 NN O O
) NN O O
* NN O O
Macrovascular NN O O
outcomes NN O O
: NN O O
There NN O O
have NN O O
been NN O O
no NN O O
clinical NN O O
studies NN O O
establishing NN O O
conclusive NN O O
evidence NN O O
of NN O O
macrovascular NN O O
risk NN O O
reduction NN O O
with NN O O
NESINA NN O O
or NN O O
any NN O O
other NN O O
antidiabetic NN O O
drug NN O O
. NN O O
( NN O O
5.6 NN O O
) NN O O
5.1 NN O O
Pancreatitis NN O O
There NN O O
have NN O O
been NN O O
postmarketing NN O O
reports NN O O
of NN O O
acute NN B-AdverseReaction B-AdverseReaction
pancreatitis NN I-AdverseReaction I-AdverseReaction
in NN O O
patients NN O O
taking NN O O
NESINA. NN O O
After NN O O
initiation NN O O
of NN O O
NESINA NN O O
, NN O O
patients NN O O
should NN O O
be NN O O
observed NN O O
carefully NN O O
for NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
pancreatitis NN O O
. NN O O
If NN O O
pancreatitis NN O O
is NN O O
suspected NN O O
, NN O O
NESINA NN O O
should NN O O
promptly NN O O
be NN O O
discontinued NN O O
and NN O O
appropriate NN O O
management NN O O
should NN O O
be NN O O
initiated NN O O
. NN O O
It NN O O
is NN O O
unknown NN O O
whether NN O O
patients NN O O
with NN O O
a NN O O
history NN O O
of NN O O
pancreatitis NN O O
are NN O O
at NN O O
increased NN O O
risk NN O O
for NN O O
the NN O O
development NN O O
of NN O O
pancreatitis NN O O
while NN O O
using NN O O
NESINA. NN O O
5.2 NN O O
Hypersensitivity NN O O
Reactions NN O O
There NN O O
have NN O O
been NN O O
postmarketing NN O O
reports NN O O
of NN O O
serious NN B-Severity B-Severity
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
in NN O O
patients NN O O
treated NN O O
with NN O O
NESINA. NN O O
These NN O O
reactions NN O O
include NN O O
anaphylaxis NN B-AdverseReaction B-AdverseReaction
angioedema NN B-AdverseReaction B-AdverseReaction
and NN O O
severe NN B-Severity B-Severity
cutaneous NN B-AdverseReaction B-AdverseReaction
adverse NN I-AdverseReaction I-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
including NN O O
Stevens NN B-AdverseReaction B-AdverseReaction
- NN I-AdverseReaction I-AdverseReaction
Johnson NN I-AdverseReaction I-AdverseReaction
syndrome NN I-AdverseReaction I-AdverseReaction
If NN O O
a NN O O
serious NN O O
hypersensitivity NN O O
reaction NN O O
is NN O O
suspected NN O O
, NN O O
discontinue NN O O
NESINA NN O O
, NN O O
assess NN O O
for NN O O
other NN O O
potential NN O O
causes NN O O
for NN O O
the NN O O
event NN O O
and NN O O
institute NN O O
alternative NN O O
treatment NN O O
for NN O O
diabetes NN O O
[ NN O O
seeAdverse NN O O
Reactions NN O O
( NN O O
6.2 NN O O
) NN O O
] NN O O
. NN O O
Use NN O O
caution NN O O
in NN O O
a NN O O
patient NN O O
with NN O O
a NN O O
history NN O O
of NN O O
angioedema NN O O
with NN O O
another NN O O
DPP-4 NN O O
inhibitor NN O O
because NN O O
it NN O O
is NN O O
unknown NN O O
whether NN O O
such NN O O
patients NN O O
will NN O O
be NN O O
predisposed NN O O
to NN O O
angioedema NN O O
with NN O O
NESINA. NN O O
5.3 NN O O
Hepatic NN O O
Effects NN O O
There NN O O
have NN O O
been NN O O
postmarketing NN O O
reports NN O O
of NN O O
fatal NN B-AdverseReaction B-AdverseReaction
and NN O O
nonfatal NN B-Severity B-Severity
hepatic NN B-AdverseReaction B-AdverseReaction
failure NN I-AdverseReaction I-AdverseReaction
in NN O O
patients NN O O
taking NN O O
NESINA NN O O
, NN O O
although NN O O
some NN O O
of NN O O
the NN O O
reports NN O O
contain NN O O
insufficient NN O O
information NN O O
necessary NN O O
to NN O O
establish NN O O
the NN O O
probable NN O O
cause NN O O
[ NN O O
seeAdverse NN O O
Reactions NN O O
( NN O O
6.2 NN O O
) NN O O
] NN O O
. NN O O
In NN O O
randomized NN O O
controlled NN O O
studies NN O O
, NN O O
serum NN O O
alanine NN O O
aminotransferase NN O O
( NN O O
ALT NN O O
) NN O O
elevations NN O O
greater NN O O
than NN O O
three NN B-Severity B-Severity
times NN I-Severity I-Severity
the NN I-Severity I-Severity
upper NN I-Severity I-Severity
limit NN I-Severity I-Severity
of NN I-Severity I-Severity
normal NN I-Severity I-Severity
( NN I-Severity I-Severity
ULN NN I-Severity I-Severity
) NN I-Severity I-Severity
were NN O O
observed NN O O
: NN O O
1.3 NN O O
% NN O O
in NN O O
alogliptin NN O O
- NN O O
treated NN O O
patients NN O O
and NN O O
1.5 NN O O
% NN O O
in NN O O
all NN O O
comparator NN O O
- NN O O
treated NN O O
patients NN O O
. NN O O
Patients NN O O
with NN O O
type NN O O
2 NN O O
diabetes NN O O
may NN O O
have NN O O
fatty NN O O
liver NN O O
disease NN O O
, NN O O
which NN O O
may NN O O
cause NN O O
liver NN O O
test NN O O
abnormalities NN O O
, NN O O
and NN O O
they NN O O
may NN O O
also NN O O
have NN O O
other NN O O
forms NN O O
of NN O O
liver NN O O
disease NN O O
, NN O O
many NN O O
of NN O O
which NN O O
can NN O O
be NN O O
treated NN O O
or NN O O
managed NN O O
. NN O O
Therefore NN O O
, NN O O
obtaining NN O O
a NN O O
liver NN O O
test NN O O
panel NN O O
and NN O O
assessing NN O O
the NN O O
patient NN O O
before NN O O
initiating NN O O
NESINA NN O O
therapy NN O O
is NN O O
recommended NN O O
. NN O O
In NN O O
patients NN O O
with NN O O
abnormal NN O O
liver NN O O
tests NN O O
, NN O O
NESINA NN O O
should NN O O
be NN O O
initiated NN O O
with NN O O
caution NN O O
. NN O O
Measure NN O O
liver NN O O
tests NN O O
promptly NN O O
in NN O O
patients NN O O
who NN O O
report NN O O
symptoms NN O O
that NN O O
may NN O O
indicate NN O O
liver NN O O
injury NN O O
, NN O O
including NN O O
fatigue NN O O
, NN O O
anorexia NN O O
, NN O O
right NN O O
upper NN O O
abdominal NN O O
discomfort NN O O
, NN O O
dark NN O O
urine NN O O
or NN O O
jaundice NN O O
. NN O O
In NN O O
this NN O O
clinical NN O O
context NN O O
, NN O O
if NN O O
the NN O O
patient NN O O
is NN O O
found NN O O
to NN O O
have NN O O
